Code ,Category or subcategory title 
A34,Code occur in female
B37.3,Code occur in female
C51.0,Code occur in female
C51.1,Code occur in female
C51.2,Code occur in female
C51.8,Code occur in female
C51.9,Code occur in female
C52,Code occur in female
C53.0,Code occur in female
C53.1,Code occur in female
C53.8,Code occur in female
C53.9,Code occur in female
C54.0,Code occur in female
C54.1,Code occur in female
C54.2,Code occur in female
C54.3,Code occur in female
C54.8,Code occur in female
C54.9,Code occur in female
C55,Code occur in female
C56,Code occur in female
C57.0,Code occur in female
C57.1,Code occur in female
C57.2,Code occur in female
C57.3,Code occur in female
C57.4,Code occur in female
C57.7,Code occur in female
C57.8,Code occur in female
C57.9,Code occur in female
N77.0,Code occur in female
N77.1,Code occur in female
N77.8,Code occur in female
N80.0,Code occur in female
N80.1,Code occur in female
N80.2,Code occur in female
N80.3,Code occur in female
N80.4,Code occur in female
N80.5,Code occur in female
N80.6,Code occur in female
N80.8,Code occur in female
N80.9,Code occur in female
N81.0,Code occur in female
N81.1,Code occur in female
N81.2,Code occur in female
N81.3,Code occur in female
N81.4,Code occur in female
N81.5,Code occur in female
N81.6,Code occur in female
N81.8,Code occur in female
N81.9,Code occur in female
N82.0,Code occur in female
N82.1,Code occur in female
N82.2,Code occur in female
N82.3,Code occur in female
N82.4,Code occur in female
N82.5,Code occur in female
N82.8,Code occur in female
N82.9,Code occur in female
N83.0,Code occur in female
N83.1,Code occur in female
N97.8,Code occur in female
N97.9,Code occur in female
N98.0,Code occur in female
N98.1,Code occur in female
N98.2,Code occur in female
N98.3,Code occur in female
N98.8,Code occur in female
N98.9,Code occur in female
N99.2,Code occur in female
N99.3,Code occur in female
O00.0,Code occur in female
O00.1,Code occur in female
O00.2,Code occur in female
O00.8,Code occur in female
O00.9,Code occur in female
O01.0,Code occur in female
O01.1,Code occur in female
O01.9,Code occur in female
O02.0,Code occur in female
O02.1,Code occur in female
O02.8,Code occur in female
O02.9,Code occur in female
O03.0,Code occur in female
O03.1,Code occur in female
O03.2,Code occur in female
O03.3,Code occur in female
O03.4,Code occur in female
O03.5,Code occur in female
O03.6,Code occur in female
O03.7,Code occur in female
O03.8,Code occur in female
O23.9,Code occur in female
O24.0,Code occur in female
O24.1,Code occur in female
O24.2,Code occur in female
O24.3,Code occur in female
O24.4,Code occur in female
O24.9,Code occur in female
O25,Code occur in female
O26.0,Code occur in female
O26.1,Code occur in female
O26.2,Code occur in female
O26.3,Code occur in female
O26.4,Code occur in female
O26.5,Code occur in female
O26.6,Code occur in female
O26.7,Code occur in female
O26.8,Code occur in female
O26.9,Code occur in female
O28.0,Code occur in female
O28.1,Code occur in female
O28.2,Code occur in female
O28.3,Code occur in female
O28.4,Code occur in female
O28.5,Code occur in female
O28.8,Code occur in female
O28.9,Code occur in female
O29.0,Code occur in female
O29.1,Code occur in female
O29.2,Code occur in female
O29.3,Code occur in female
O29.4,Code occur in female
O61.1,Code occur in female
O61.8,Code occur in female
O61.9,Code occur in female
O62.0,Code occur in female
O62.1,Code occur in female
O62.2,Code occur in female
O62.3,Code occur in female
O62.4,Code occur in female
O62.8,Code occur in female
O62.9,Code occur in female
O63.0,Code occur in female
O63.1,Code occur in female
O63.2,Code occur in female
O63.9,Code occur in female
O64.0,Code occur in female
O64.1,Code occur in female
O64.2,Code occur in female
O64.3,Code occur in female
O64.4,Code occur in female
O64.5,Code occur in female
O64.8,Code occur in female
O64.9,Code occur in female
O65.0,Code occur in female
O65.1,Code occur in female
O65.2,Code occur in female
O65.3,Code occur in female
O65.4,Code occur in female
O65.5,Code occur in female
O65.8,Code occur in female
O65.9,Code occur in female
O66.0,Code occur in female
O86.0,Code occur in female
O86.1,Code occur in female
O86.2,Code occur in female
O86.3,Code occur in female
O86.4,Code occur in female
O86.8,Code occur in female
O87.0,Code occur in female
O87.1,Code occur in female
O87.2,Code occur in female
O87.3,Code occur in female
O87.8,Code occur in female
O87.9,Code occur in female
O88.0,Code occur in female
O88.1,Code occur in female
O88.2,Code occur in female
O88.3,Code occur in female
O88.8,Code occur in female
O89.0,Code occur in female
O89.1,Code occur in female
O89.2,Code occur in female
O89.3,Code occur in female
O89.4,Code occur in female
O89.5,Code occur in female
O89.6,Code occur in female
O89.8,Code occur in female
O89.9,Code occur in female
O90.0,Code occur in female
O90.1,Code occur in female
O90.2,Code occur in female
O90.3,Code occur in female
O90.4,Code occur in female
S37.6z,Code occur in female
T19.3,Code occur in female
T83.3,Code occur in female
Y42.4,Code occur in female
Y42.5,Code occur in female
Y76.0,Code occur in female
Y76.1,Code occur in female
Y76.2,Code occur in female
Y76.3,Code occur in female
Y76.8 ,Code occur in female
Z01.4,Code occur in female
Z12.4,Code occur in female
Z30.1,Code occur in female
Z30.3,Code occur in female
C58,Code occur in female
C79.6,Code occur in female
D06.0,Code occur in female
D06.1,Code occur in female
D06.7,Code occur in female
D06.9,Code occur in female
D07.0,Code occur in female
D07.1,Code occur in female
D07.2,Code occur in female
D07.3,Code occur in female
D25.0,Code occur in female
D25.1,Code occur in female
D25.2,Code occur in female
