Code ,Category or subcategory title 
B26.0,Code occurs in male
C60.0,Code occurs in male
C60.1,Code occurs in male
C60.2,Code occurs in male
C60.8,Code occurs in male
C60.9,Code occurs in male
C61,Code occurs in male
C62.0,Code occurs in male
C62.1,Code occurs in male
C62.9,Code occurs in male
C63.0,Code occurs in male
C63.1,Code occurs in male
C63.2,Code occurs in male
C63.7,Code occurs in male
C63.8,Code occurs in male
C63.9,Code occurs in male
D07.4,Code occurs in male
D07.5,Code occurs in male
D07.6,Code occurs in male
D17.6,Code occurs in male
D29.0,Code occurs in male
D29.1,Code occurs in male
D29.2,Code occurs in male
D29.3,Code occurs in male
D29.4,Code occurs in male
D29.7,Code occurs in male
D29.9,Code occurs in male
D40.0,Code occurs in male
D40.1,Code occurs in male
D40.7,Code occurs in male
D40.9,Code occurs in male
E29.0,Code occurs in male
E29.1,Code occurs in male
E29.8,Code occurs in male
E29.9,Code occurs in male
E89.5 ,Code occurs in male
L29.1,Code occurs in male
N40,Code occurs in male
N41.0,Code occurs in male
N41.1,Code occurs in male
N41.2,Code occurs in male
N41.3,Code occurs in male
N41.8,Code occurs in male
N41.9,Code occurs in male
N42.0,Code occurs in male
N42.1,Code occurs in male
N42.2,Code occurs in male
N42.3,Code occurs in male
N42.8,Code occurs in male
N42.9,Code occurs in male
N43.0,Code occurs in male
N43.1,Code occurs in male
N43.2,Code occurs in male
N43.3,Code occurs in male
N43.4,Code occurs in male
N44,Code occurs in male
N45.0,Code occurs in male
N45.9,Code occurs in male
N46,Code occurs in male
N47,Code occurs in male
N48.0,Code occurs in male
N48.1,Code occurs in male
F52.4 ,Code occurs in male
I86.1,Code occurs in male
N48.2,Code occurs in male
N48.3,Code occurs in male
N48.4,Code occurs in male
N48.5,Code occurs in male
N48.6,Code occurs in male
N48.8,Code occurs in male
N48.9,Code occurs in male
N49.0,Code occurs in male
N49.1,Code occurs in male
N49.2,Code occurs in male
N49.8,Code occurs in male
N49.9,Code occurs in male
N50.0,Code occurs in male
N50.1,Code occurs in male
N50.8,Code occurs in male
N50.9,Code occurs in male
N51.0,Code occurs in male
N51.1,Code occurs in male
N51.2,Code occurs in male
N51.8,Code occurs in male
Q53.0,Code occurs in male
Q53.1,Code occurs in male
Q53.2,Code occurs in male
Q53.9,Code occurs in male
Q54.0,Code occurs in male
Q54.1,Code occurs in male
Q54.2,Code occurs in male
Q54.3,Code occurs in male
Q54.4,Code occurs in male
Q54.8,Code occurs in male
Q54.9,Code occurs in male
Q55.0,Code occurs in male
Q55.1,Code occurs in male
Q55.2,Code occurs in male
Q55.3,Code occurs in male
Q55.4,Code occurs in male
Q55.5,Code occurs in male
Q55.6,Code occurs in male
Q55.8,Code occurs in male
Q55.9,Code occurs in male
Q98.0,Code occurs in male
Q98.1,Code occurs in male
Q98.2,Code occurs in male
Q98.3,Code occurs in male
Q98.4,Code occurs in male
Q98.5,Code occurs in male
Q98.6,Code occurs in male
Q98.7,Code occurs in male
Q98.8,Code occurs in male
Q98.9,Code occurs in male
R86.0,Code occurs in male
R86.1,Code occurs in male
R86.2,Code occurs in male
R86.3,Code occurs in male
R86.4,Code occurs in male
R86.5,Code occurs in male
R86.6,Code occurs in male
R86.7,Code occurs in male
R86.8,Code occurs in male
R86.9,Code occurs in male
S31.2,Code occurs in male
S31.3,Code occurs in male
Z12.5,Code occurs in male
