Code ,Category or subcategory title
A31.1,Cutaneous mycobacterial infection
A42.8,Other forms of actinomycosis
A60.0,Herpesviral infection of genitalia and urogenital tract
A71.0-A71.9,Trachoma
A74.0†,Chlamydial conjunctivitis
B00.2,Herpesviral gingivostomatitis and pharyngotonsillitis
B00.5,Herpesviral ocular disease
B00.8,Herpesviral whitlow†
B07,Viral warts
B08.1,Molluscum contagiosum
B08.8,Foot- and- mouth disease
B30.0-B30.9,Viral conjunctivitis
B35.0-B35.9,Dermatophytosis
B36.0-B36.9,Other superficial mycoses
B85.0-B85.4,Pediculosis and phthiriasis
F45.3-F45.9,Somatoform disorders
F50.1,Eating disorders 
F50.3-F50.9,Eating disorders
F51.0-F51.9,Nonorganic sleep disorders
F52.0-F52.9,"Sexual dysfunction, not caused by organic disorder or disease"
F60.0-F60.9,Specific personality disorders
F61,Mixed and other personality disorders
F62.0-F62.9,"Enduring personality changes, not attributable to brain damage and disease"
F63.0-F63.9,Habit and impulse disorders
F64.0-F64.9,Gender identity disorders
F65.0-F65.9,Disorders of sexual preference
F66.0-F66.9,Psychological and behavioural disorders associated with sexual development and orientation
F68.0-F68.9,Other disorders of adult personality and behaviour
F69,Unspecified disorder of adult personality and behaviour
F80-F89,Disorders of psychological development
F95.0-F95.9,Tic disorders
F98.0-F98.9,Other behavioural and emotional disorders with an onset usually occurring in childhood and adolescence
G43.0-G43.2,"Migraine, except complicated migraine (G43.3)"
G43.8-G43.9,"Migraine, except complicated migraine (G43.3)"
G44.0-G44.2,Other headache syndromes
G45.0-G45.9,Transient cerebral ischaemic attacks and related syndromes
G50.0-G50.9,Disorders of trigeminal nerve
G51.0-G51.9,Facial nerve disorders
G54.0-G54.9,Nerve root and plexus disorders
G56.0-G56.9,Mononeuropathies of upper limb
G57.0-G57.9,Mononeuropathies of lower limb
G58.7,Mononeuritis multiplex
H00.0-H00.1,Hordeolum and chalazion
H01.0-H01.9,Other inflammation of eyelid
H02.0-H02.9,Other disorders of eyelid
H04.0-H04.9,Disorders of lacrimal system
H10.0-H10.9,Conjunctivitis
H11.0-H11.9,Other disorders of conjunctiva
H15.0-H15.9,Disorders of sclera
H16.0-H16.9,Keratitis
H17.0-H17.9,Corneal scars and opacities
H18.0-H18.9,Other disorders of cornea
H20.0-H20.9,Iridocyclitis
H21.0-H21.9,Other disorders of iris and ciliary body
H25.0-H25.9,Senile cataract
H26.0-H26.9,Other cataract
H27.0-H27.9,Other disorders of lens
H30.0-H30.9,Chorioretinal inflammation
H31.0-H31.9,Other disorders of choroid 
H33.0-H33.5,Retinal detachments and breaks
H34.0-H34.9,Retinal vascular occlusions
H35.0-H35.9,Other retinal disorders
H40.0-H40.9,Glaucoma
H43.0-H43.9,Disorders of vitreous body
H46,Optic neuritis
H47.0-H47.7,Other disorders of optic [2nd] nerve and visual pathways
H49.0-H49.9,Paralytic strabismus
H50.0-H50.9,Other strabismus
H51.0-H51.9,Other disorders of binocular movement
H52.0-H52.7,Disorders of refraction and accommodation
H53.0-H53.9,Visual disturbances
H54.0-H54.9,Visual impairment including blindness (binocular or monocular)
H55,Nystagmus and other irregular eye movements
H57.0-H57.9,Other disorders of eye and adnexa
H60.0-H60.9,Otitis externa
H61.0-H61.9,Other disorders of external ear
H80.0-H80.9,Otosclerosis
